attribute,target_column,target_file,task_type,strategy,splitter,fold,n_folds,prediction,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,train_majority_count,train_majority_share,accuracy,weighted_f1,macro_f1
width_bin,width_bin,data/processed/train/width_bin_train.csv,classification,majority_class_group_cv,GroupKFold,5,5,standard (0.9-1.5m),2198,557,1388,346,1239,0.5636942675159236,0.5242369838420108,0.36060588758979306,0.09826686858488978
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,classification,majority_class_group_cv,GroupKFold,1,5,medium (1.2-5m),185,54,97,25,70,0.3783783783783784,0.25925925925925924,0.10675381263616558,0.06862745098039215
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,classification,majority_class_group_cv,GroupKFold,2,5,medium (1.2-5m),177,62,97,25,60,0.3389830508474576,0.3870967741935484,0.21605401350337583,0.09302325581395349
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,classification,majority_class_group_cv,GroupKFold,3,5,medium (1.2-5m),198,41,98,24,68,0.3434343434343434,0.3902439024390244,0.21908429610611893,0.0935672514619883
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,classification,majority_class_group_cv,GroupKFold,4,5,medium (1.2-5m),207,32,98,24,74,0.357487922705314,0.3125,0.1488095238095238,0.09523809523809523
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,classification,majority_class_group_cv,GroupKFold,5,5,medium (1.2-5m),189,50,98,24,64,0.3386243386243386,0.4,0.22857142857142854,0.11428571428571428
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,classification,majority_class_group_cv,GroupKFold,1,5,few (<10),45,7,23,6,21,0.4666666666666667,0.2857142857142857,0.12698412698412698,0.14814814814814814
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,classification,majority_class_group_cv,GroupKFold,2,5,few (<10),36,16,23,6,16,0.4444444444444444,0.4375,0.266304347826087,0.2028985507246377
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,classification,majority_class_group_cv,GroupKFold,3,5,few (<10),43,9,23,6,21,0.4883720930232558,0.2222222222222222,0.08080808080808081,0.18181818181818182
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,classification,majority_class_group_cv,GroupKFold,4,5,few (<10),39,13,23,6,16,0.41025641025641024,0.5384615384615384,0.37692307692307686,0.2333333333333333
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,classification,majority_class_group_cv,GroupKFold,5,5,few (<10),45,7,24,5,18,0.4,0.7142857142857143,0.5952380952380952,0.4166666666666667
